sgRNA	Gene	sample1
MGLibA_55068	Tnfaip3	218
MGLibA_33095	Naa10	23
MGLibA_65824	mmu-mir-7076	159
MGLibA_51076	Spopl	11
MGLibA_05650	Atg4c	17
MGLibA_63854	mmu-mir-6356	54
MGLibA_38777	Olfr983	272
MGLibA_52491	Taar7d	254
MGLibA_16438	Erbb2ip	127
MGLibA_39200	P2rx1	257
MGLibA_37958	Olfr646	217
MGLibA_64185	mmu-mir-467e	315
MGLibA_54553	Tmem207	20
MGLibA_37636	Olfr520	308
MGLibA_06031	Aurkc	15
MGLibA_50325	Snrnp27	155
MGLibA_07646	Cabyr	147
MGLibA_61214	Zfp788	124
MGLibA_24840	Hrc	133
MGLibA_43472	Psmd4	209
MGLibA_42825	Prl3c1	170
MGLibA_62415	mmu-mir-6338	42
MGLibA_01068	3110062M04Rik	97
MGLibA_00250	1700008F21Rik	92
MGLibA_35677	Olfr1094	70
MGLibA_38960	Orc5	100
MGLibA_52390	Syt10	151
MGLibA_31328	Mier3	133
MGLibA_08827	Ccnb1	196
MGLibA_57493	Ushbp1	18
MGLibA_49214	Slc2a12	220
MGLibA_66635	NonTargetingControlGuideForMouse_0230	125
MGLibA_59909	Yipf6	198
MGLibA_62475	mmu-mir-21a	260
MGLibA_32363	Mst1	108
MGLibA_62119	mmu-mir-1930	147
MGLibA_50450	Snx27	144
MGLibA_03756	Aldh1a3	253
MGLibA_39331	Pafah1b2	127
MGLibA_44011	Qk	184
MGLibA_03044	Adamts19	145
MGLibA_01268/MGLibA_21286/MGLibA_21290/MGLibA_21294/MGLibA_21295/MGLibA_21806/	4930449I24Rik/Gm3402/Gm3404/Gm3409/Gm3415/Gm6370/	926
MGLibA_02322	Abcb7	100
MGLibA_56193	Tshz1	250
MGLibA_61617	Zmym4	66
MGLibA_40218	Pdia5	144
MGLibA_27440	Kifc3	46
MGLibA_45880	Rnf17	155
MGLibA_55982	Trmt61a	56
MGLibA_31139	Mfn2	193
MGLibA_49149	Slc26a1	95
MGLibA_49866	Slfn9	96
MGLibA_14014	Dgkd	79
MGLibA_33565	Ndufaf2	109
MGLibA_40275	Pdrg1	79
MGLibA_62747	mmu-mir-127	245
MGLibA_31734	Mospd3	335
MGLibA_22589	Gpr137	158
MGLibA_01335	4930522H14Rik	41
MGLibA_60009	Zbed4	110
MGLibA_09781	Celsr2	147
MGLibA_65999	mmu-mir-7243	115
MGLibA_15655/MGLibA_27718/	Egfbp2/Klk1b26/	349
MGLibA_33645	Ndufv1	408
MGLibA_53195	Tcp10b	154
MGLibA_39244	P4ha1	167
MGLibA_03897	Alox15	127
MGLibA_09947	Cer1	121
MGLibA_45033	Reep1	166
MGLibA_62477	mmu-mir-301a	191
MGLibA_02709	Acp2	70
MGLibA_06278	BC022687	63
MGLibA_51147	Sprr4	50
MGLibA_25398	Ifitm3	238
MGLibA_37881	Olfr616	103
MGLibA_21247	Gm2933	88
MGLibA_61276	Zfp831	119
MGLibA_60169	Zc3h13	32
MGLibA_11327	Col4a1	178
MGLibA_51603	St8sia3	97
MGLibA_25132	Htr5b	173
MGLibA_05570	Atad2	39
MGLibA_42023	Pot1a	61
MGLibA_21319	Gm362	120
MGLibA_36971	Olfr228	55
MGLibA_31968	Mroh5	174
MGLibA_38439	Olfr835	119
MGLibA_23498	H2-Eb1	149
MGLibA_09708	Ceacam20	170
MGLibA_16701	Etnk1	67
MGLibA_38755	Olfr976	64
MGLibA_44263	Rab8b	92
MGLibA_05596	Atf4	88
MGLibA_41443	Plekhg2	155
MGLibA_58788	Vmn2r59	55
MGLibA_60412	Zfp111	139
MGLibA_57160	Uevld	28
MGLibA_23209	Gstt1	221
MGLibA_58697/MGLibA_58704/MGLibA_58717/MGLibA_58738/	Vmn2r31/Vmn2r33/Vmn2r38/Vmn2r44/	451
MGLibA_15198	Dynlrb2	80
MGLibA_47428	Sdc2	177
MGLibA_04068	Amy2b	284
MGLibA_13089	D15Ertd621e	193
MGLibA_07037	Bnip2	53
MGLibA_37996	Olfr65	167
MGLibA_34329	Noa1	24
