sgRNA	Gene	sample1
MGLibA_58020/MGLibA_58074/	Vmn1r135/Vmn1r163/	1
MGLibA_20981/MGLibA_20987/MGLibA_21365/MGLibA_21377/MGLibA_21689/MGLibA_21797/MGLibA_22010/MGLibA_22025/MGLibA_57932/MGLibA_57935/MGLibA_57965/MGLibA_57983/MGLibA_58005/MGLibA_58044/MGLibA_58049/	Gm16442/Gm16451/Gm4133/Gm4187/Gm5725/Gm6164/Gm8653/Gm8720/Vmn1r101/Vmn1r103/Vmn1r117/Vmn1r122/Vmn1r129/Vmn1r149/Vmn1r151/	1
MGLibA_52225	Svs3a	1
MGLibA_67009	NonTargetingControlGuideForMouse_0604	1
MGLibA_66695	NonTargetingControlGuideForMouse_0290	1
MGLibA_20829/MGLibA_20970/MGLibA_20971/MGLibA_20974/MGLibA_49937/	Gm14625/Gm16404/Gm16405/Gm16430/Slxl1/	1
MGLibA_66893	NonTargetingControlGuideForMouse_0488	1
MGLibA_24359	Hist1h4k	1
MGLibA_12906	Cyp3a41a	1
MGLibA_30027	Magea2	1
MGLibA_66486	NonTargetingControlGuideForMouse_0081	1
MGLibA_66571	NonTargetingControlGuideForMouse_0166	1
MGLibA_66930	NonTargetingControlGuideForMouse_0525	1
MGLibA_05324	Art2b	1
MGLibA_00040	01-Mar	0
MGLibA_00041	01-Mar	0
MGLibA_00042	01-Mar	0
MGLibA_00663	02-Mar	0
MGLibA_00664	02-Mar	0
MGLibA_00665	02-Mar	0
MGLibA_01026	03-Mar	0
MGLibA_01027	03-Mar	0
MGLibA_01028	03-Mar	0
MGLibA_01098	04-Mar	0
MGLibA_01099	04-Mar	0
MGLibA_01100	04-Mar	0
MGLibA_01617	05-Mar	0
MGLibA_01618	05-Mar	0
MGLibA_01619	05-Mar	0
MGLibA_01689	06-Mar	0
MGLibA_01690	06-Mar	0
MGLibA_01691	06-Mar	0
MGLibA_01743	07-Mar	0
MGLibA_01744	07-Mar	0
MGLibA_01745	07-Mar	0
MGLibA_01758	08-Mar	0
MGLibA_01759	08-Mar	0
MGLibA_01760	08-Mar	0
MGLibA_01782	09-Mar	0
MGLibA_01783	09-Mar	0
MGLibA_01784	09-Mar	0
MGLibA_00046	10-Mar	0
MGLibA_00047	10-Mar	0
MGLibA_00048	10-Mar	0
MGLibA_00052	11-Mar	0
MGLibA_00053	11-Mar	0
MGLibA_00054	11-Mar	0
MGLibA_00043	01-Sep	0
MGLibA_00044	01-Sep	0
MGLibA_00045	01-Sep	0
MGLibA_00666	02-Sep	0
MGLibA_00667	02-Sep	0
MGLibA_00668	02-Sep	0
MGLibA_01029	03-Sep	0
MGLibA_01030	03-Sep	0
MGLibA_01031	03-Sep	0
MGLibA_01101	04-Sep	0
MGLibA_01102	04-Sep	0
MGLibA_01103	04-Sep	0
MGLibA_01620	05-Sep	0
MGLibA_01621	05-Sep	0
MGLibA_01622	05-Sep	0
MGLibA_01692	06-Sep	0
MGLibA_01693	06-Sep	0
MGLibA_01694	06-Sep	0
MGLibA_01746	07-Sep	0
MGLibA_01747	07-Sep	0
MGLibA_01748	07-Sep	0
MGLibA_01761	08-Sep	0
MGLibA_01762	08-Sep	0
MGLibA_01763	08-Sep	0
MGLibA_01785	09-Sep	0
MGLibA_01786	09-Sep	0
MGLibA_01787	09-Sep	0
MGLibA_00049	10-Sep	0
MGLibA_00050	10-Sep	0
MGLibA_00051	10-Sep	0
MGLibA_00055	11-Sep	0
MGLibA_00056	11-Sep	0
MGLibA_00057	11-Sep	0
MGLibA_00145	12-Sep	0
MGLibA_00146	12-Sep	0
MGLibA_00147	12-Sep	0
MGLibA_00157	14-Sep	0
MGLibA_00158	14-Sep	0
MGLibA_00159	14-Sep	0
MGLibA_00160	15-Sep	0
MGLibA_00161	15-Sep	0
MGLibA_00162	15-Sep	0
MGLibA_00001	0610007P14Rik	0
MGLibA_00002	0610007P14Rik	0
MGLibA_00003	0610007P14Rik	0
MGLibA_00004	0610009B22Rik	0
MGLibA_00005	0610009B22Rik	0
MGLibA_00006	0610009B22Rik	0
MGLibA_00007	0610009D07Rik	0
MGLibA_00008	0610009D07Rik	0
MGLibA_00009	0610009D07Rik	0
MGLibA_00010	0610009O20Rik	0
MGLibA_00011	0610009O20Rik	0
MGLibA_00012	0610009O20Rik	0
